name_en,name_ar,description_en,description_ar,sub_category_id,slug
Memory Cards,كروت ذاكرة,Memory Cards,كروت ذاكرة,13,Memory-Cards
USB Flash Drives,يو إس بي,USB Flash Drives,يو إس بي,18,USB-Flash-Drives
Mobile Phone Chargers,شواحن الهواتف المحمولة,Mobile Phone Chargers,شواحن الهواتف المحمولة,13,Mobile-Phone-Chargers
Mobile Phones,موبايلات/جوالات,Mobile Phones,موبايلات/جوالات,25,Mobile-Phones
Tablets,أجهزة لوحية/تابلت,Tablets,أجهزة لوحية/تابلت,29,Tablets
Network cards & adapters,بطاقات الشبكة والمحولات,Network cards & adapters,بطاقات الشبكة والمحولات,14,Network-cards-adapters
Networking Tools,أدوات الشبكات,Networking Tools,أدوات الشبكات,14,Networking-Tools
Router,اجهزة التوجيه,Router,اجهزة التوجيه,14,Router
Network switches,شبكة مفاتيح,Network switches,شبكة مفاتيح,14,Network-switches
Telephones,الهواتف اللاسلكية,Telephones,الهواتف اللاسلكية,14,Telephones
Card Readers / Writers,قارئات / ناسخات كروت,Card Readers / Writers,قارئات / ناسخات كروت,18,Card-Readers-Writers
Memory Modules,كروت ذاكرة,Memory Modules,كروت ذاكرة,19,Memory-Modules
Hair Styling Electronics,الكترونيات تصفيف الشعر,Hair Styling Electronics,الكترونيات تصفيف الشعر,15,Hair-Styling-Electronics
Electric Shavers & Removal,ماكينات حلاقة كهربائية,Electric Shavers & Removal,ماكينات حلاقة كهربائية,15,Electric-Shavers-Removal
Multifunctional Printers,طابعات متعددة الوظائف,Multifunctional Printers,طابعات متعددة الوظائف,16,Multifunctional-Printers
Label Printers,طابعات الملصقات,Label Printers,طابعات الملصقات,16,Label-Printers
Scanners,ماسحات ضوئية,Scanners,ماسحات ضوئية,16,Scanners
Barcode reader,قارئات باركود,Barcode reader,قارئات باركود,16,Barcode-reader
Uninterruptible Power Supply UPS,يو بي إس التيار الكهربائي المتواصل,Uninterruptible Power Supply UPS,يو بي إس التيار الكهربائي المتواصل,17,Uninterruptible-Power-Supply-UPS
Laptops & Notebooks,لاب توب و نوت بوك,Laptops & Notebooks,لاب توب و نوت بوك,28,Laptops-Notebooks
Computer Monitors,شاشات كمبيوتر,Computer Monitors,شاشات كمبيوتر,34,Computer-Monitors
Office Supplies,لوازم المكتبية,Office Supplies,لوازم المكتبية,14,Office-Supplies
Electrical & Electronic Accessories,لوازم الأدوات الكهربائية والإلكترونية,Electrical & Electronic Accessories,لوازم الأدوات الكهربائية والإلكترونية,17,Electrical-Electronic-Accessories
Power supplies,مزودات طاقة,Power supplies,مزودات طاقة,17,Power-supplies
Recording and Studio Equipment,معدات التسجيل و الأستديو,Recording and Studio Equipment,معدات التسجيل و الأستديو,17,Recording-and-Studio-Equipment
Portable Radios,راديوهات محمولة,Portable Radios,راديوهات محمولة,17,Portable-Radios
Telephone Accessories,اكسسوارات الهواتف,Telephone Accessories,اكسسوارات الهواتف,17,Telephone-Accessories
Flashlights,مصابيح يدوية,Flashlights,مصابيح يدوية,17,Flashlights
Phones Chargers,شواحن موبايل,Phones Chargers,شواحن موبايل,13,Chargers-ssc126
Phones Cases,جرابات موبايل,Phones Cases,جرابات موبايل,13,Cases
Phones Headsets,سماعات موبايل,Phones Headsets,سماعات موبايل,24,Phones-Headsets
Other Accessories,اكسسوارات أخرى,Other Accessories,اكسسوارات أخرى,18,Other-Accessories
Hard Drives,أقراص صلبة,Hard Drives,أقراص صلبة,19,Hard-Drives
Microphones,ميكروفونات,Microphones,ميكروفونات,18,Microphones
Smart Watches,ساعات ذكية,Smart Watches,ساعات ذكية,37,Smart-Watches
Watches,ساعات,Watches,ساعات,37,Watches
Mobile Phone Accessories,اكسسوارات الموبايل,Mobile Phone Accessories,اكسسوارات الموبايل,13,Mobile-Phone-Accessories
USB Hubs,محاور يو اس بي,USB Hubs,محاور يو اس بي,18,USB-Hubs
Cooling Pads,منصات تبريد,Cooling Pads,منصات تبريد,18,Cooling-Pads
Audio Accessories,ملحقات صوتية,Audio Accessories,ملحقات صوتية,18,Audio-Accessories
Computer Casing,أغلفة كمبيوتر,Computer Casing,أغلفة كمبيوتر,19,Computer-Casing
Video Games,ألعاب فيديو,Video Games,ألعاب فيديو,26,Video-Games
Backpacks,حقائب ظهر,Backpacks,حقائب ظهر,30,Backpacks
Power Tools,أداوات كهربائية,Power Tools,أداوات كهربائية,22,Power-Tools
Computers Fans,مراوح كمبيوترات,Computers Fans,مراوح كمبيوترات,19,Computers-Fans
Hand tools,معدات يدوية,Hand tools,معدات يدوية,22,Hand-tools
Skins & Decals,ملصقات و أغطية حماية,Skins & Decals,ملصقات و أغطية حماية,18,Skins-Decals
Software,برامج,Software,برامج,18,Software
CPUs & Processors,معالجات رقمية و ذاكرات,CPUs & Processors,معالجات رقمية و ذاكرات,19,CPUs-Processors
Docking Station,محطة الإرساء,Docking Station,محطة الإرساء,18,Docking-Station
Optical Drives,مشغلات أقراص ضوئية,Optical Drives,مشغلات أقراص ضوئية,19,Optical-Drives
Electrical Personal Care,ماكينات العناية الشخصية,Electrical Personal Care,ماكينات العناية الشخصية,15,Electrical-Personal-Care
Game Consoles,أجهزة ألعاب,Game Consoles,أجهزة ألعاب,23,Game-Consoles
Specialty Bags & Carry Cases,حقائب لإستخدامات متخصصة,Specialty Bags & Carry Cases,حقائب لإستخدامات متخصصة,17,Specialty-Bags-Carry-Cases
Still Films,أفلام كاميرات تقليدية,Still Films,أفلام كاميرات تقليدية,32,Still-Films
Interchangeable Lenses,عدسات قابلة للتبديل,Interchangeable Lenses,عدسات قابلة للتبديل,32,Interchangeable-Lenses
Electronic Flashes,فلاشات إلكترونية,Electronic Flashes,فلاشات إلكترونية,32,Electronic-Flashes
Screen Protectors,واقيات الشاشة,Screen Protectors,واقيات الشاشة,13,Screen-Protectors
Adapters,محولات,Adapters,محولات,13,Adapters
Laptop Cases,حافظات اللابتوب,Laptop Cases,حافظات اللابتوب,30,Laptop-Cases
Drills,مثاقب,Drills,مثاقب,22,Drills
Car Care Products,منتجات العناية بالسيارة,Car Care Products,منتجات العناية بالسيارة,10,Car-Care-Products
Measuring & Layout Tools,أدوات قياس و تخطيط,Measuring & Layout Tools,أدوات قياس و تخطيط,22,Measuring-Layout-Tools
Power & Hand Tools Accessories,مستلزمات المعدات اليدوية و الكهربائية,Power & Hand Tools Accessories,مستلزمات المعدات اليدوية و الكهربائية,22,Power-Hand-Tools-Accessories
Paint & Supplies,الطلاء و لوازم الدهان,Paint & Supplies,الطلاء و لوازم الدهان,22,Paint-Supplies
Stationery,قرطاسية,Stationery,قرطاسية,22,Stationery
Storage & Organization,منظمات و أدوات تخزين,Storage & Organization,منظمات و أدوات تخزين,22,Storage-Organization
Lamps & Lightings,وحدات إنارة,Lamps & Lightings,وحدات إنارة,17,Lamps-Lightings
Gardening and Watering equipments,مستلزمات الحدائق و أدوات ريها,Gardening and Watering equipments,مستلزمات الحدائق و أدوات ريها,22,Gardening-and-Watering-equipments
"Nails, Screws & Fixings",مسامير، براغي والمثبتات,"Nails, Screws & Fixings",مسامير، براغي والمثبتات,22,Nails-Screws-Fixings
Home Supplies,معدات و مستلزمات المنزل,Home Supplies,معدات و مستلزمات المنزل,22,Home-Supplies
Air Treatment,معالج الهواء,Air Treatment,معالج الهواء,6,Air-Treatment
Motherboards,اللوحات الرئيسية,Motherboards,اللوحات الرئيسية,19,Motherboards
Video Cards,بطاقات الفيديو,Video Cards,بطاقات الفيديو,19,Video-Cards
Fitness Technology,تقنية اللياقة البدنية,Fitness Technology,تقنية اللياقة البدنية,38,Fitness-Technology
Tablet Accessories,اكسسوارات أجهزة لوحية,Tablet Accessories,اكسسوارات أجهزة لوحية,30,Tablet-Accessories
Car Audio and Video Accessories,اكسسورات سيارات صوتية و مرئية,Car Audio and Video Accessories,اكسسورات سيارات صوتية و مرئية,10,Car-Audio-and-Video-Accessories
CD Players & Recorders,مشغلات أقراص مدمجة و مسجلات,CD Players & Recorders,مشغلات أقراص مدمجة و مسجلات,18,CD-Players-Recorders
VR Gadgets,أجهزة الواقع الإفتراضي,VR Gadgets,أجهزة الواقع الإفتراضي,27,VR-Gadgets
Musical Instruments Parts,قطع الأدوات الموسيقية,Musical Instruments Parts,قطع الأدوات الموسيقية,17,Musical-Instruments-Parts
PCs,أجهزة الكمبيوتر,PCs,أجهزة الكمبيوتر,33,PCs
Cable,كابل,Cable,كابل,113,Cable
Camera and camcorder Accessories,اكسسوارات كاميرات و فيديوهات رقمية,Camera and camcorder Accessories,اكسسوارات كاميرات و فيديوهات رقمية,113,Camera-and-camcorder-Accessories
Washing Machines,غسالات,Washing Machines,غسالات,109,Washing-Machines
Dishwashers,غسالات الصحون,Dishwashers,غسالات الصحون,109,Dishwashers
Washers Dryers 2 in 1,غسالات نشافات,Washers Dryers 2 in 1,غسالات نشافات,109,Washers-Dryers-2-in-1
Refrigerators & Freezers,ثلاجات و مجمدات,Refrigerators & Freezers,ثلاجات و مجمدات,109,Refrigerators-Freezers
Water Coolers & Dispensers,مبرادت المياه,Water Coolers & Dispensers,مبرادت المياه,109,Water-Coolers-Dispensers
Irons,مكاوي كهربائية,Irons,مكاوي كهربائية,109,Irons
Vacuum Cleaners,مكانس كهربائية,Vacuum Cleaners,مكانس كهربائية,109,Vacuum-Cleaners
Air Conditioners & Coolers,مكيفات هواء,Air Conditioners & Coolers,مكيفات هواء,109,Air-Conditioners-Coolers
Water Heaters,سخانات الماء,Water Heaters,سخانات الماء,109,Water-Heaters
Heaters,مدافئ و سخانات,Heaters,مدافئ و سخانات,109,Heaters
Satellite Receivers,أجهزة استقبال القنوات الفضائية - ستالايت,Satellite Receivers,أجهزة استقبال القنوات الفضائية - ستالايت,109,Satellite-Receivers
TV and Satellite Accessories,اكسسوارات تلفزيون و أجهزة استقبال,TV and Satellite Accessories,اكسسوارات تلفزيون و أجهزة استقبال,109,TV-and-Satellite-Accessories
Universal Remote Controls,(أجهزة التحكم عن بعد (ريموت كنترول,Universal Remote Controls,(أجهزة التحكم عن بعد (ريموت كنترول,109,Universal-Remote-Controls
TV Mounts,حوامل لتلفاز,TV Mounts,حوامل لتلفاز,109,TV-Mounts
Televisions,تلفزيونات,Televisions,تلفزيونات,109,Televisions
Home Theater Systems,أنظمة مسرح منزلية,Home Theater Systems,أنظمة مسرح منزلية,109,Home-Theater-Systems
Fans,مراوح,Fans,مراوح,109,Fans
Kitchen Accessories,اكسسوارات المطبخ,Kitchen Accessories,اكسسوارات المطبخ,109,Kitchen-Accessories
Camping Goods,مستلزمات التخييم,Camping Goods,مستلزمات التخييم,109,Camping-Goods
Drinkware,أكواب و أدوات الشرب,Drinkware,أكواب و أدوات الشرب,109,Drinkware
Light Bulbs,لمبات,Light Bulbs,لمبات,109,Light-Bulbs
"Ovens, Ranges & Stoves",أفران,"Ovens, Ranges & Stoves",أفران,110,Ovens-Ranges-Stoves
Blenders & Mixers,خلاطات,Blenders & Mixers,خلاطات,110,Blenders-Mixers
Food Processors,أجهزة معالجة الطعام,Food Processors,أجهزة معالجة الطعام,110,Food-Processors
Food Preparation,محضرات الأطعمة,Food Preparation,محضرات الأطعمة,110,Food-Preparation
Coffee & Espresso Makers,ماكنات اعداد المشروبات الساخنة,Coffee & Espresso Makers,ماكنات اعداد المشروبات الساخنة,110,Coffee-Espresso-Makers
Toasters,أجهزة تحميص,Toasters,أجهزة تحميص,110,Toasters
Microwaves,ميكرويف,Microwaves,ميكرويف,110,Microwaves
Sandwich & Waffle Makers,محضرات الساندويشات و الوفل,Sandwich & Waffle Makers,محضرات الساندويشات و الوفل,110,Sandwich-Waffle-Makers
Kettles,غلايات,Kettles,غلايات,110,Kettles
Range Hoods,مداخن و شفاطات افران,Range Hoods,مداخن و شفاطات افران,110,Range-Hoods
Specialty Kitchen Appliances,أجهزة مطبخ خاصة,Specialty Kitchen Appliances,أجهزة مطبخ خاصة,110,Specialty-Kitchen-Appliances
Electric Meat Grinders,مقطعات اللحوم الكهربائية,Electric Meat Grinders,مقطعات اللحوم الكهربائية,110,Electric-Meat-Grinders
Dryers,نشافات و حماصات,Dryers,نشافات و حماصات,110,Dryers
Kitchen Scales,موازين مطبخ,Kitchen Scales,موازين مطبخ,110,Kitchen-Scales
Fryers,مقالي كهربائية,Fryers,مقالي كهربائية,110,Fryers
Juicers & Presses,عصارات,Juicers & Presses,عصارات,110,Juicers-Presses
Bakeware & Accessories,أدوات و مستلزمات الخبز,Bakeware & Accessories,أدوات و مستلزمات الخبز,110,Bakeware-Accessories
Rice Cooker,أجهزة طبخ الأرز,Rice Cooker,أجهزة طبخ الأرز,110,Rice-Cooker
Power Banks,باور بانك,Power Banks,باور بانك,111,Power-Banks
Chargers,شواحن,Chargers,شواحن,111,Chargers
Memory Cards,كروت ذاكرة,Memory Cards,كروت ذاكرة,111,Memory-Cards
USB Flash Drives,يو إس بي,USB Flash Drives,يو إس بي,111,USB-Flash-Drives
Mobile Phone Chargers,شواحن الهواتف المحمولة,Mobile Phone Chargers,شواحن الهواتف المحمولة,111,Mobile-Phone-Chargers
Batteries,بطاريات,Batteries,بطاريات,111,Batteries
Headphones & Headsets,السماعات,Headphones & Headsets,السماعات,111,Headphones-Headsets
Speakers,سماعات عالية الصوت,Speakers,سماعات عالية الصوت,111,Speakers
Mobile Phones,موبايلات/جوالات,Mobile Phones,موبايلات/جوالات,112,Mobile-Phones
Tablets,أجهزة لوحية/تابلت,Tablets,أجهزة لوحية/تابلت,112,Tablets
Router,اجهزة التوجيه,Router,اجهزة التوجيه,113,Router
Computer & Laptop Accessories,اكسسوارات كمبيوتر و لاب توب,Computer & Laptop Accessories,اكسسوارات كمبيوتر و لاب توب,113,Computer-Laptop-Accessories-ssc425
Keyboards,لوحات المفاتيح,Keyboards,لوحات المفاتيح,113,Keyboards
Mouse,ماوس,Mouse,ماوس,113,Mouse
Card Readers / Writers,قارئات / ناسخات كروت,Card Readers / Writers,قارئات / ناسخات كروت,113,Card-Readers-Writers
Projectors,أجهزة عرض,Projectors,أجهزة عرض,113,Projectors
Network switches,شبكة مفاتيح,Network switches,شبكة مفاتيح,113,Network-switches
Network cards & adapters,بطاقات الشبكة والمحولات,Network cards & adapters,بطاقات الشبكة والمحولات,113,Network-cards-adapters
Memory Modules,كروت ذاكرة,Memory Modules,كروت ذاكرة,113,Memory-Modules
Hair Styling Electronics,الكترونيات تصفيف الشعر,Hair Styling Electronics,الكترونيات تصفيف الشعر,114,Hair-Styling-Electronics
Electric Shavers & Removal,ماكينات حلاقة كهربائية,Electric Shavers & Removal,ماكينات حلاقة كهربائية,114,Electric-Shavers-Removal
Projectors Accessories,اكسسوارات أجهزة عرض,Projectors Accessories,اكسسوارات أجهزة عرض,113,Projectors-Accessories
Webcams,كاميرات الويب,Webcams,كاميرات الويب,113,Webcams
Games Gadgets & Accessories,اكسسوارات ألعاب الكترونية,Games Gadgets & Accessories,اكسسوارات ألعاب الكترونية,113,Games-Gadgets-Accessories
Fax Machines and Shredders,فاكسات و ممزقات الورق,Fax Machines and Shredders,فاكسات و ممزقات الورق,113,Fax-Machines-and-Shredders
Laptops & Notebooks,لاب توب و نوت بوك,Laptops & Notebooks,لاب توب و نوت بوك,115,Laptops-Notebooks
Computer Monitors,شاشات كمبيوتر,Computer Monitors,شاشات كمبيوتر,116,Computer-Monitors
Networking Tools,أدوات الشبكات,Networking Tools,أدوات الشبكات,117,Networking-Tools
Telephones,الهواتف اللاسلكية,Telephones,الهواتف اللاسلكية,117,Telephones
Printers,طابعات,Printers,طابعات,118,Printers
Multifunctional Printers,طابعات متعددة الوظائف,Multifunctional Printers,طابعات متعددة الوظائف,118,Multifunctional-Printers
Label Printers,طابعات الملصقات,Label Printers,طابعات الملصقات,118,Label-Printers
Scanners,ماسحات ضوئية,Scanners,ماسحات ضوئية,118,Scanners
Barcode reader,قارئات باركود,Barcode reader,قارئات باركود,118,Barcode-reader
