name_en,name_ar,short_description_en,short_description_ar,description_en,description_ar,total_quantity,sku,price,expiry_alarm_before,brand_id,active,free_shipping,allow_review,slug,vendor_id,image_url,final_price
PULUZ 1m Mini 5pin USB Sync Data Charging Cable for Canon EOS 50D / 60D / 70D / 5D2 / 5D3,PULUZ 1m Mini 5pin USB Sync Data Charging Cable for Canon EOS 50D / 60D / 70D / 5D2 / 5D3,PULUZ 1m Mini 5pin USB Sync Data Charging Cable for Canon EOS 50D / 60D / 70D / 5D2 / 5D3,PULUZ 1m Mini 5pin USB Sync Data Charging Cable for Canon EOS 50D / 60D / 70D / 5D2 / 5D3,Brand: Puluz<br>Package thickness: 10.2 centimeters<br>Package weight in KGs: 352 grams<br>Compatible with: Digital Camera & Smart Phones<br>Accessory Type: Accessories Kit<br>Expirable: <br>Package height: 3.2 centimeters<br>Package Width: 9.6 centimeters<br>Serial Scan Required: <br>Item EAN: 2724508861717<br>,حزمة سمك: 10.2 centimeters<br>وزن الحزمة: 352 grams<br>العلامة التجارية: بولوز<br>متوافق مع: كاميرا رقمية و هواتف ذكية<br>نوع الملحقات: مجموعة اكسسوارات<br>الرقم المميز للسلعة: 2724508861717<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,87,2196611310,750,30,692,1,0,1,PULUZ-1m-Mini-5pin-USB-Sync-Data-Charging-Cable-for-Canon-EOS-50D-60D-70D-5D2-5D3,1,/images/24013/item_XXL_26692256_50993331.jpg,750
Etrain Network LAN Cable 10 meter,كابل شبكة لان 10 متر من اي ترين,Etrain Network LAN Cable 10 meter,كابل شبكة لان 10 متر من اي ترين,Brand: Etrain<br>Package thickness: 30.7 centimeters<br>Package weight in KGs: 12 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Computers - PCs<br>Item EAN: 2724445073778<br>,حزمة سمك: 30.7 centimeters<br>وزن الحزمة: 12 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: اي ترين<br>النوع: كابل<br>متوافق مع: كومبيوتر - بي سي<br>الرقم المميز للسلعة: 2724445073778<br>,97,8601089218,29,30,527,1,0,1,Etrain-Network-LAN-Cable-10-meter,1,/images/24014/item_XXL_22285542_30064902.jpg,24.07
E-Train Dc252 Network Cable,اي ترين متوافق مع اجهزة راوتر - كابل,E-Train Dc252 Network Cable,اي ترين متوافق مع اجهزة راوتر - كابل,Brand: E-Train<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Routers<br>Item EAN: 2724342568698<br>,الشبكة المحلية اللاسلكية: <br>العلامة التجارية: اي ترين<br>النوع: كابل<br>متوافق مع: اجهزة راوتر<br>الرقم المميز للسلعة: 2724342568698<br>,99,8653857164,170,30,344,1,0,1,E-Train-Dc252-Network-Cable,1,/images/24015/item_XXL_12067254_18133348.jpg,142.8
Etrain HDMI to HDMI flat Cable 10m,اي ترين متوافق مع متعدد - كوابل,Etrain HDMI to HDMI flat Cable 10m,اي ترين متوافق مع متعدد - كوابل,Brand: E-Train<br>Package thickness: 19.4 centimeters<br>Package weight in KGs: 650 grams<br>Type: Cables<br>Compatible with: Multi<br>Expirable: <br>Package height: 5.4 centimeters<br>Package Width: 18 centimeters<br>Serial Scan Required: <br>Item EAN: 2724744246781<br>,حزمة سمك: 19.4 centimeters<br>وزن الحزمة: 650 grams<br>العلامة التجارية: اي ترين<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724744246781<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,93,3608588193,110,30,344,1,0,1,Etrain-HDMI-to-HDMI-flat-Cable-10m,1,/images/24016/item_XXL_46047820_0acc8a797befd.jpg,93.5
"E-Train Cv891 Hdmi-Hdmi Cable , Red",كابل اتش دي ام اي - اتش دي ام اي من اي تراين Cv891 ، أحمر,"E-Train Cv891 Hdmi-Hdmi Cable , Red",كابل اتش دي ام اي - اتش دي ام اي من اي تراين Cv891 ، أحمر,Brand: E-Train<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>Item EAN: 2724337135812<br>,الشبكة المحلية اللاسلكية: <br>العلامة التجارية: اي تراين<br>النوع: كابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724337135812<br>,99,9531485355,75,30,344,1,0,1,E-Train-Cv891-Hdmi-Hdmi-Cable-Red,1,/images/24018/item_XXL_11550622_16424578.jpg,63
"E-Train Cv882 Hdmi To Hdmi Cable , Black",كابل اتش دي ام اي إلى اتش دي ام اي من اي تراين Cv882 ، أسود,"E-Train Cv882 Hdmi To Hdmi Cable , Black",كابل اتش دي ام اي إلى اتش دي ام اي من اي تراين Cv882 ، أسود,Brand: E-Train<br>Package thickness: 22 centimeters<br>Package weight in KGs: 580 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>EAN-13: 4892221008820<br>Expirable: <br>Package height: 9.6 centimeters<br>Package Width: 13 centimeters<br>Serial Scan Required: <br>Item EAN: 2724337135775<br>,حزمة سمك: 22 centimeters<br>وزن الحزمة: 580 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221008820<br>العلامة التجارية: اي تراين<br>النوع: كابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724337135775<br>,98,1457032663,38,30,344,1,0,1,E-Train-Cv882-Hdmi-To-Hdmi-Cable-Black,1,/images/24019/item_XXL_11550618_16424574.jpg,31.92
"Etrain USB to Mini USB 1.5m, 5pin",كابل يو اس بي الى يو اس بي 1.5 م من اي ترين، 5 بن,"Etrain USB to Mini USB 1.5m, 5pin",كابل يو اس بي الى يو اس بي 1.5 م من اي ترين، 5 بن,Brand: E-Train<br>Package thickness: 13.5 centimeters<br>Package weight in KGs: 34 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>Expirable: <br>Package height: 1 centimeters<br>Package Width: 16.7 centimeters<br>Serial Scan Required: <br>Item EAN: 2724452858030<br>,حزمة سمك: 13.5 centimeters<br>وزن الحزمة: 34 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: اي ترين<br>النوع: كابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724452858030<br>,99,6371885200,19,30,344,1,0,1,Etrain-USB-to-Mini-USB-1-5m-5pin,1,/images/24020/item_XXL_22857423_31907064.jpg,14.06
Etrain  - HDMI to HDMI Flat Cable - Gold Plated - 1.8M,اي ترين  كابل - من HDMI الى HDMI - طوله 1.8 متر,Etrain  - HDMI to HDMI Flat Cable - Gold Plated - 1.8M,اي ترين  كابل - من HDMI الى HDMI - طوله 1.8 متر,Brand: Other<br>Package thickness: 17.8 centimeters<br>Package weight in KGs: 170 grams<br>Type: Cables<br>Compatible with: Multi<br>EAN-13: 4892221008905<br>Expirable: <br>Package height: 4.8 centimeters<br>Package Width: 10.6 centimeters<br>Serial Scan Required: <br>Item EAN: 2724743405790<br>,حزمة سمك: 17.8 centimeters<br>وزن الحزمة: 170 grams<br>EAN-13: 4892221008905<br>العلامة التجارية: اخرى<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724743405790<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,97,2753648310,32,30,9,1,0,1,Etrain-HDMI-to-HDMI-Flat-Cable-Gold-Plated-1-8M,1,/images/24021/item_XXL_45965950_9a295d63a2f00.jpg,24.64
2B (DC166) - HyperLink Cat 6 Cable - 60M - Gray,توبي ‫(DC166) كابل هايبر لينك كات 6 - طوله 60 متر - رمادى,2B (DC166) - HyperLink Cat 6 Cable - 60M - Gray,توبي ‫(DC166) كابل هايبر لينك كات 6 - طوله 60 متر - رمادى,Brand: 2B<br>Package thickness: 9.3 centimeters<br>Package weight in KGs: 3350 grams<br>Type: Cables<br>Compatible with: Computers - PCs<br>Expirable: <br>Package height: 3.2 centimeters<br>Package Width: 9.3 centimeters<br>Serial Scan Required: <br>Item EAN: 2725324880401<br>,حزمة سمك: 9.3 centimeters<br>وزن الحزمة: 3350 grams<br>العلامة التجارية: 2 بي<br>النوع: كوابل<br>متوافق مع: كومبيوتر - بي سي<br>الرقم المميز للسلعة: 2725324880401<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,95,7612765279,186.5,30,280,1,0,1,2B-DC166-HyperLink-Cat-6-Cable-60M-Gray,1,/images/24022/item_XXL_103809500_d50bb7507cf6d.jpg,134.28
USB Type C to  USB 3.1 OTG,USB Type C to  USB 3.1 OTG,USB Type C to  USB 3.1 OTG,USB Type C to  USB 3.1 OTG,Brand: Other<br>Manufacturer Number: 2724607423526.0<br>Package thickness: 17.2 centimeters<br>Package weight in KGs: 28 grams<br>Type: Adapters<br>Wireless LAN: <br>Compatible with: Mobile Phones<br>Expirable: <br>Package height: 1 centimeters<br>Package Width: 8.8 centimeters<br>Serial Scan Required: <br>Item EAN: 2724607423526<br>,الرقم المصنعي: 2724607423526.0<br>حزمة سمك: 17.2 centimeters<br>وزن الحزمة: 28 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: اخرى<br>النوع: محولات<br>متوافق مع: هواتف خلوية<br>الرقم المميز للسلعة: 2724607423526<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,98,9778072676,39,30,9,1,0,1,USB-Type-C-to-USB-3-1-OTG,1,/images/24023/item_XXL_33607209_131655014.jpg,32.76
Iconz Imnhc35Ks   Hdmi Cable With ethernet 5 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 5 متر من ايكونز IImnhc35Ks  - اسود,Iconz Imnhc35Ks   Hdmi Cable With ethernet 5 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 5 متر من ايكونز IImnhc35Ks  - اسود,Brand: Iconz<br>Package thickness: 26.6 centimeters<br>Package weight in KGs: 336 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>UPC-A: 053722700086<br>Expirable: <br>Package height: 2 centimeters<br>Package Width: 16 centimeters<br>Serial Scan Required: <br>Item EAN: 2724588831518<br>,حزمة سمك: 26.6 centimeters<br>وزن الحزمة: 336 grams<br>الشبكة المحلية اللاسلكية: <br>UPC-A: 053722700086<br>العلامة التجارية: ايكونز<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724588831518<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,95,7798510170,200,30,288,1,0,1,Iconz-Imnhc35Ks-Hdmi-Cable-With-ethernet-5-Meter-Black,1,/images/24024/item_XXL_32190227_115886494.jpg,168
Iconz Imn-Hc25K High Speed Hdmi Cable With ethernet 5 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 5 متر من ايكونز Imn-Hc25K - اسود,Iconz Imn-Hc25K High Speed Hdmi Cable With ethernet 5 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 5 متر من ايكونز Imn-Hc25K - اسود,Brand: Iconz<br>Package thickness: 24.2 centimeters<br>Package weight in KGs: 258 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>UPC-A: 053722700055<br>Expirable: <br>Package height: 3.8 centimeters<br>Package Width: 10.6 centimeters<br>Serial Scan Required: <br>Item EAN: 2724588831402<br>,حزمة سمك: 24.2 centimeters<br>وزن الحزمة: 258 grams<br>الشبكة المحلية اللاسلكية: <br>UPC-A: 053722700055<br>العلامة التجارية: ايكونز<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724588831402<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,7734664722,220,30,288,1,0,1,Iconz-Imn-Hc25K-High-Speed-Hdmi-Cable-With-ethernet-5-Meter-Black,1,/images/24025/item_XXL_32190216_115886464.jpg,176
Iconz Imn-Hc22K   Hdmi Cable With ethernet 1.8 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 1.8 متر من ايكونز Imn-Hc22K - اسود,Iconz Imn-Hc22K   Hdmi Cable With ethernet 1.8 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 1.8 متر من ايكونز Imn-Hc22K - اسود,Brand: Iconz<br>Package thickness: 27.6 centimeters<br>Package weight in KGs: 340 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>UPC-A: 053722700031<br>Expirable: <br>Package height: 7.4 centimeters<br>Package Width: 18.6 centimeters<br>Serial Scan Required: <br>Item EAN: 2724588831495<br>,حزمة سمك: 27.6 centimeters<br>وزن الحزمة: 340 grams<br>الشبكة المحلية اللاسلكية: <br>UPC-A: 053722700031<br>العلامة التجارية: ايكونز<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724588831495<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,8563695157,130,30,288,1,0,1,Iconz-Imn-Hc22K-Hdmi-Cable-With-ethernet-1-8-Meter-Black,1,/images/24026/item_XXL_32190224_115886490.jpg,94.9
Iconz Imn-Hc23K   Hdmi Cable With ethernet 3 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 3 متر من ايكونز Imn-Hc23K - اسود,Iconz Imn-Hc23K   Hdmi Cable With ethernet 3 Meter - Black,كابل اتش دي ام اي عالي السرعة مع ايثرنت 3 متر من ايكونز Imn-Hc23K - اسود,Brand: Iconz<br>Package thickness: 9.2 centimeters<br>Package weight in KGs: 160 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>UPC-A: 053722700048<br>Expirable: <br>Package height: 3.4 centimeters<br>Package Width: 22.4 centimeters<br>Serial Scan Required: <br>Item EAN: 2724588831563<br>,حزمة سمك: 9.2 centimeters<br>وزن الحزمة: 160 grams<br>الشبكة المحلية اللاسلكية: <br>UPC-A: 053722700048<br>العلامة التجارية: ايكونز<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724588831563<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,1384862976,155,30,288,1,0,1,Iconz-Imn-Hc23K-Hdmi-Cable-With-ethernet-3-Meter-Black,1,/images/24027/item_XXL_32190233_115886518.jpg,124
Iconz Imn-Hc210K High Speed HDMI Cable، 10M,كابل اتش دي ام اي عالي السرعة من ايكونز Imn-Hc210K، 10 متر,Iconz Imn-Hc210K High Speed HDMI Cable، 10M,كابل اتش دي ام اي عالي السرعة من ايكونز Imn-Hc210K، 10 متر,Brand: Iconz<br>Package thickness: 19.4 centimeters<br>Package weight in KGs: 48 grams<br>Type: Cables<br>Compatible with: Computers - PCs<br>UPC-A: 053722700024<br>UPC-E: 53722700024<br>Expirable: <br>Package height: 2.6 centimeters<br>Package Width: 0.8 centimeters<br>Serial Scan Required: <br>Item EAN: 2724739603964<br>,حزمة سمك: 19.4 centimeters<br>وزن الحزمة: 48 grams<br>UPC-A: 053722700024<br>UPC-E: 53722700024<br>العلامة التجارية: ايكونز<br>النوع: كوابل<br>متوافق مع: كومبيوتر - بي سي<br>الرقم المميز للسلعة: 2724739603964<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,99,7732490426,418.7,30,288,1,0,1,Iconz-Imn-Hc210K-High-Speed-HDMI-Cable-10M,1,/images/24028/item_XXL_45588230_eae631bf5fb18.jpg,314.03
"2B Cv105 Audio Extension Cable , Black",كابل امتداد الصوت من تو بي Cv105 ، أسود,"2B Cv105 Audio Extension Cable , Black",كابل امتداد الصوت من تو بي Cv105 ، أسود,Brand: 2B Technology<br>Package thickness: 25.7 centimeters<br>Package weight in KGs: 124 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Laptops & Notebooks<br>Package height: 2.1 centimeters<br>Package Width: 17.5 centimeters<br>Item EAN: 2724337135751<br>,حزمة سمك: 25.7 centimeters<br>وزن الحزمة: 124 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: تو بي<br>النوع: كابل<br>متوافق مع: اجهزة لابتوب ونوت بوك<br>الرقم المميز للسلعة: 2724337135751<br>,100,1576376486,59,30,691,1,0,1,2B-Cv105-Audio-Extension-Cable-Black,1,/images/24030/item_XXL_11550614_16424570.jpg,49.56
